concept,cav_method,layer,technique,alpha,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2
time,svm,10,subtraction,1.5,0.9666666666666667,0.9853883576393128,0.9666666666666667,0.9854056739807129,0.0,1.731634140011984e-05
time,svm,10,subtraction,3.5,0.9666666666666667,0.9853675699234009,0.9666666666666667,0.9854056739807129,0.0,3.810405731197175e-05
time,svm,10,subtraction,6.0,0.9666666666666667,0.9853453254699707,0.9666666666666667,0.9854056739807129,0.0,6.0348510742214145e-05
time,svm,10,projection,1.5,0.8,0.985447256565094,0.9666666666666667,0.9854056739807129,0.16666666666666663,-4.158258438113904e-05
time,svm,10,projection,3.5,0.5333333333333333,0.9854149317741394,0.9666666666666667,0.9854056739807129,0.43333333333333335,-9.257793426531435e-06
time,svm,10,projection,6.0,0.16666666666666666,0.9851161122322083,0.9666666666666667,0.9854056739807129,0.8,0.0002895617485045854
place,mean_diff,6,subtraction,1.5,0.7666666666666667,0.9863305926322937,0.7666666666666667,0.986401891708374,0.0,7.129907608027786e-05
place,mean_diff,6,subtraction,3.5,0.7666666666666667,0.9862442922592163,0.7666666666666667,0.986401891708374,0.0,0.00015759944915771928
place,mean_diff,6,subtraction,6.0,0.7666666666666667,0.9861620283126831,0.7666666666666667,0.986401891708374,0.0,0.0002398633956909313
place,mean_diff,6,projection,1.5,0.5333333333333333,0.986824700832367,0.7666666666666667,0.986401891708374,0.2333333333333334,-0.000422809123992951
place,mean_diff,6,projection,3.5,0.4,0.988041353225708,0.7666666666666667,0.986401891708374,0.3666666666666667,-0.0016394615173339622
place,mean_diff,6,projection,6.0,0.3,0.9906003522872925,0.7666666666666667,0.986401891708374,0.46666666666666673,-0.004198460578918484
place,mean_diff,10,subtraction,1.5,0.7666666666666667,0.9863819146156311,0.7666666666666667,0.986401891708374,0.0,1.9977092742928804e-05
place,mean_diff,10,subtraction,3.5,0.7666666666666667,0.9863570904731751,0.7666666666666667,0.986401891708374,0.0,4.4801235198899114e-05
place,mean_diff,10,subtraction,6.0,0.7666666666666667,0.9863290405273437,0.7666666666666667,0.986401891708374,0.0,7.285118103028676e-05
place,mean_diff,10,projection,1.5,0.8666666666666667,0.9875702452659607,0.7666666666666667,0.986401891708374,-0.09999999999999998,-0.0011683535575867099
place,mean_diff,10,projection,3.5,0.9333333333333333,0.9891572594642639,0.7666666666666667,0.986401891708374,-0.16666666666666663,-0.0027553677558899148
place,mean_diff,10,projection,6.0,0.9666666666666667,0.9894386529922485,0.7666666666666667,0.986401891708374,-0.19999999999999996,-0.003036761283874534
place,svm,6,subtraction,1.5,0.7666666666666667,0.9863644814491273,0.7666666666666667,0.986401891708374,0.0,3.741025924675068e-05
place,svm,6,subtraction,3.5,0.7666666666666667,0.9863239717483521,0.7666666666666667,0.986401891708374,0.0,7.791996002193269e-05
place,svm,6,subtraction,6.0,0.7666666666666667,0.9862944269180298,0.7666666666666667,0.986401891708374,0.0,0.00010746479034418055
place,svm,6,projection,1.5,0.7666666666666667,0.9863022589683532,0.7666666666666667,0.986401891708374,0.0,9.963274002078304e-05
place,svm,6,projection,3.5,0.6,0.986306300163269,0.7666666666666667,0.986401891708374,0.16666666666666674,9.559154510496715e-05
place,svm,6,projection,6.0,0.5666666666666667,0.9859682273864746,0.7666666666666667,0.986401891708374,0.20000000000000007,0.0004336643218993963
place,svm,10,subtraction,1.5,0.7666666666666667,0.9863716793060303,0.7666666666666667,0.986401891708374,0.0,3.0212402343687828e-05
place,svm,10,subtraction,3.5,0.7666666666666667,0.9863329005241394,0.7666666666666667,0.986401891708374,0.0,6.899118423464579e-05
place,svm,10,subtraction,6.0,0.7666666666666667,0.9862867832183838,0.7666666666666667,0.986401891708374,0.0,0.00011510848999018997
place,svm,10,projection,1.5,0.7666666666666667,0.9863065218925476,0.7666666666666667,0.986401891708374,0.0,9.536981582636272e-05
place,svm,10,projection,3.5,0.5666666666666667,0.9857482075691223,0.7666666666666667,0.986401891708374,0.20000000000000007,0.000653684139251709
place,svm,10,projection,6.0,0.5333333333333333,0.9839532566070557,0.7666666666666667,0.986401891708374,0.2333333333333334,0.0024486351013183194
tools,mean_diff,6,subtraction,1.5,0.5666666666666667,0.9847745442390442,0.6333333333333333,0.9847470426559448,0.06666666666666665,-2.750158309938744e-05
tools,mean_diff,6,subtraction,3.5,0.4666666666666667,0.9848205637931824,0.6333333333333333,0.9847470426559448,0.16666666666666663,-7.352113723757547e-05
tools,mean_diff,6,subtraction,6.0,0.43333333333333335,0.9848960304260254,0.6333333333333333,0.9847470426559448,0.19999999999999996,-0.0001489877700805442
tools,mean_diff,6,projection,1.5,0.9333333333333333,0.9860085082054139,0.6333333333333333,0.9847470426559448,-0.30000000000000004,-0.001261465549469043
tools,mean_diff,6,projection,3.5,1.0,0.98776451587677,0.6333333333333333,0.9847470426559448,-0.3666666666666667,-0.0030174732208252397
tools,mean_diff,6,projection,6.0,1.0,0.9838515734672546,0.6333333333333333,0.9847470426559448,-0.3666666666666667,0.0008954691886902122
tools,mean_diff,10,subtraction,1.5,0.6333333333333333,0.9847757601737976,0.6333333333333333,0.9847470426559448,0.0,-2.8717517852827612e-05
tools,mean_diff,10,subtraction,3.5,0.5333333333333333,0.9848171067237854,0.6333333333333333,0.9847470426559448,0.09999999999999998,-7.006406784060282e-05
tools,mean_diff,10,subtraction,6.0,0.5,0.9848737120628357,0.6333333333333333,0.9847470426559448,0.1333333333333333,-0.00012666940689087802
tools,mean_diff,10,projection,1.5,0.9,0.9852220821380615,0.6333333333333333,0.9847470426559448,-0.2666666666666667,-0.00047503948211669034
tools,mean_diff,10,projection,3.5,1.0,0.9855907988548279,0.6333333333333333,0.9847470426559448,-0.3666666666666667,-0.0008437561988831055
tools,mean_diff,10,projection,6.0,1.0,0.9856311583518982,0.6333333333333333,0.9847470426559448,-0.3666666666666667,-0.0008841156959533691
