ablated_concept,measured_concept,on_target,r1_accuracy,r2a_similarity,r2b_similarity,delta_r1,delta_r2a,delta_r2b
candle,candle,True,0.9333333333333333,0.5699982325236003,0.9828614393870035,0.06666666666666665,-0.03428713679313655,0.017138298352559422
candle,tabby_cat,False,0.0,0.4995476206143697,0.9924659490585327,0.0,-0.034874633948008216,0.007533804575602265
candle,golden_retriever,False,0.3333333333333333,0.49923712213834126,0.9920504530270894,0.0,-0.031247069438298525,0.007949229081471776
candle,labrador_retriever,False,0.8666666666666667,0.5080327053864797,0.9916731278101604,0.0,-0.027420582373936964,0.008326629797617557
tabby_cat,camel,False,0.375,0.40132560580968857,0.9208351448178291,0.0,0.0686647891998291,0.07916462421417236
tabby_cat,bee,False,0.7333333333333333,0.3853979547818502,0.9166736642519633,0.0,0.10195648471514385,0.0833260297775269
tabby_cat,horse,False,0.0,0.40549125472704567,0.9210855921109518,0.0,0.09330297907193502,0.07891408602396643
tabby_cat,penguin,False,1.0,0.4141841462025276,0.9178534195973322,0.0,0.07474499482374924,0.0821462686245259
tabby_cat,violin,False,1.0,0.41445834769143,0.919920457734002,0.0,0.08919470177756417,0.08007923762003577
tabby_cat,bird,False,0.0,0.4145371695359548,0.9178656021753947,0.0,0.07101361751556395,0.08213416337966917
tabby_cat,spider,False,0.0,0.40279209017753603,0.9121485193570454,0.0,0.08815696835517883,0.08785119851430268
tabby_cat,candle,False,1.0,0.42827970584233604,0.9177402019500732,0.0,0.10743138988812767,0.08225953578948975
tabby_cat,tabby_cat,True,0.0,0.4202563186486562,0.9037383119265239,0.0,0.044416668017705274,0.09626144170761108
tabby_cat,golden_retriever,False,0.3333333333333333,0.4055801490942637,0.9042336225509644,0.0,0.06240990360577903,0.09576605955759676
tabby_cat,labrador_retriever,False,0.7333333333333333,0.41920653780301415,0.8999469677607218,0.13333333333333341,0.0614055852095286,0.10005278984705612
golden_retriever,camel,False,0.375,0.5200183466076851,0.9912455230951309,0.0,-0.05002795159816742,0.008754245936870575
golden_retriever,bee,False,0.7333333333333333,0.4906855841477712,0.9964672605196635,0.0,-0.0033311446507771625,0.0035324335098266824
golden_retriever,horse,False,0.0,0.5249388257662455,0.9943624258041381,0.0,-0.02614459196726482,0.0056372523307800515
golden_retriever,penguin,False,1.0,0.5145888236852793,0.994070983850039,0.0,-0.025659682659002425,0.005928704371819138
golden_retriever,violin,False,1.0,0.5010773870680068,0.9963233272234598,0.0,0.0025756624009873885,0.0036763681305779228
golden_retriever,bird,False,0.0,0.49860557516415915,0.9947219729423523,0.0,-0.01305478811264038,0.0052777926127115515
golden_retriever,spider,False,0.0,0.4956911265850067,0.9962672472000123,0.0,-0.004742068052291826,0.0037324706713358635
golden_retriever,candle,False,1.0,0.522789478302002,0.9941503683725993,0.0,0.012921617428461762,0.005849369366963675
golden_retriever,tabby_cat,False,0.0,0.5367879569530487,0.9843137979507446,0.0,-0.07211497028668723,0.015685955683390373
golden_retriever,golden_retriever,True,0.3333333333333333,0.5597867528597514,0.9641495903333028,0.0,-0.0917967001597087,0.03585009177525833
golden_retriever,labrador_retriever,False,0.8666666666666667,0.5509411295255026,0.9675466179847717,0.0,-0.07032900651295981,0.03245313962300622
labrador_retriever,camel,False,0.375,0.5039558708667755,0.9820935726165771,0.0,-0.03396547585725784,0.017906196415424347
labrador_retriever,bee,False,0.6666666666666666,0.47930086851119996,0.9834179838498434,0.06666666666666665,0.008053570985794067,0.016581710179646825
labrador_retriever,horse,False,0.0,0.5116651634375254,0.9835062225659689,0.0,-0.012870929638544748,0.016493455568949322
labrador_retriever,penguin,False,1.0,0.5063509047031403,0.983524753497197,0.0,-0.017421763676863433,0.016474934724661106
labrador_retriever,violin,False,1.0,0.5021956198745303,0.9835331837336222,0.0,0.0014574295944638216,0.01646651162041557
labrador_retriever,bird,False,0.0,0.49330037236213686,0.9837606310844421,0.0,-0.00774958531061809,0.016239134470621752
labrador_retriever,spider,False,0.0,0.4933224340279897,0.9823187232017517,0.0,-0.002373375495274832,0.017680994669596384
labrador_retriever,candle,False,1.0,0.5193958520889282,0.9779174526532491,0.0,0.01631524364153547,0.022082285086313824
labrador_retriever,tabby_cat,False,0.0,0.5240230123202007,0.9745196302731832,0.0,-0.05935002565383918,0.025480123360951734
labrador_retriever,golden_retriever,False,0.3333333333333333,0.5318896214167277,0.9627425233523051,0.0,-0.06389956871668495,0.037257158756256015
labrador_retriever,labrador_retriever,True,0.8666666666666667,0.5389980196952819,0.9596589922904968,0.0,-0.05838589668273919,0.040340765317281146
